index,btc_HWES
266,2435.55639
267,2448.379852
268,2461.203314
269,2474.026776
270,2486.850238
271,2499.673699
272,2512.497161
273,2525.320623
274,2538.144085
275,2550.967547
276,2563.791008
277,2576.61447
278,2589.437932
279,2602.261394
280,2492.003796
281,2505.022897
282,2518.041998
283,2531.061099
284,2544.0802
285,2557.099301
286,2570.118402
287,2583.137503
288,2596.156605
289,2609.175706
290,2622.194807
291,2635.213908
292,2648.233009
293,2661.25211
294,2674.271211
295,2458.418584
296,2474.120867
297,2489.823149
298,2505.525431
299,2521.227713
300,2536.929995
301,2552.632277
302,2568.33456
303,2584.036842
304,2599.739124
305,2615.441406
306,2631.143688
307,2646.845971
308,2662.548253
309,2678.250535
310,1874.200639
311,1835.626979
312,1797.053318
313,1758.479658
314,1719.905997
315,1681.332337
316,1642.758676
317,1604.185016
318,1565.611355
319,1527.037695
320,1488.464034
321,1449.890374
322,1411.316713
323,1372.743053
324,1334.169392
325,2880.311555
326,2896.866062
327,2913.420568
328,2929.975074
329,2946.52958
330,2963.084087
331,2979.638593
332,2996.193099
333,3012.747606
334,3029.302112
335,3045.856618
336,3062.411124
337,3078.965631
338,3095.520137
339,3112.074643
340,4222.422449
341,4257.697832
342,4292.973215
343,4328.248598
344,4363.523982
345,4398.799365
346,4434.074748
347,4469.350131
348,4504.625514
349,4539.900897
350,4575.17628
351,4610.451663
352,4645.727046
353,4681.002429
354,4716.277813
355,4608.38439
356,4632.091291
357,4655.798193
358,4679.505094
359,4703.211995
360,4726.918896
361,4750.625797
362,4774.332699
363,4798.0396
364,4821.746501
365,4845.453402
366,4869.160303
367,4892.867205
368,4916.574106
369,4940.281007
370,3124.08485
371,3026.316615
372,2928.548381
373,2830.780146
374,2733.011911
375,2635.243677
376,2537.475442
377,2439.707208
378,2341.938973
379,2244.170739
380,2146.402504
381,2048.634269
382,1950.866035
383,1853.0978
384,1755.329566
385,4179.566669
386,4191.503605
387,4203.440541
388,4215.377477
389,4227.314413
390,4239.251349
391,4251.188285
392,4263.125221
393,4275.062157
394,4286.999093
395,4298.936029
396,4310.872965
397,4322.809901
398,4334.746837
399,4346.683773
400,5934.64083
401,6042.350783
402,6150.060736
403,6257.770689
404,6365.480642
405,6473.190595
406,6580.900548
407,6688.610501
408,6796.320454
409,6904.030407
410,7011.74036
411,7119.450313
412,7227.160266
413,7334.870219
414,7442.580172
415,6177.850245
416,6216.973155
417,6256.096065
418,6295.218974
419,6334.341884
420,6373.464794
421,6412.587703
422,6451.710613
423,6490.833523
424,6529.956432
425,6569.079342
426,6608.202252
427,6647.325161
428,6686.448071
429,6725.570981
430,6522.10386
431,6548.612098
432,6575.120337
433,6601.628575
434,6628.136814
435,6654.645052
436,6681.153291
437,6707.661529
438,6734.169768
439,6760.678006
440,6787.186245
441,6813.694484
442,6840.202722
443,6866.710961
444,6893.219199
445,9978.00714
446,10036.55844
447,10095.10974
448,10153.66103
449,10212.21233
450,10270.76363
451,10329.31493
452,10387.86622
453,10446.41752
