index,gold_20
372,1347.607354
373,1346.504555
374,1349.313053
375,1344.050374
376,1349.18879
377,1353.002364
378,1354.69932
379,1355.667695
380,1288.705293
381,1289.07063
382,1294.839112
383,1293.856094
384,1292.664897
385,1294.27385
386,1290.915874
387,1293.013442
388,1292.641385
389,1299.412895
390,1299.525018
391,1303.953669
392,1303.950615
393,1301.3002
394,1304.51051
395,1305.426447
396,1304.24194
397,1304.231673
398,1307.577044
399,1308.290566
400,1311.004709
401,1312.975573
402,1321.092433
403,1323.775649
404,1330.386718
405,1330.210179
406,1330.834907
407,1331.368092
408,1328.697032
409,1329.943776
410,1336.398838
411,1336.897753
412,1333.866419
413,1337.960095
414,1339.042196
415,1341.639261
416,1342.997426
417,1340.41681
418,1335.35433
419,1345.27263
420,1264.584086
421,1263.945053
422,1268.71117
423,1264.708782
424,1257.62492
425,1266.940812
426,1267.880873
427,1265.439876
428,1268.571798
429,1261.854453
430,1268.700048
431,1275.056993
432,1274.711956
433,1271.994336
434,1272.706719
435,1275.286858
436,1284.578272
437,1285.398719
438,1273.691765
439,1277.874194
440,1289.50868
441,1295.032404
442,1294.284884
443,1294.811082
444,1299.017082
445,1297.046015
446,1291.819659
447,1291.250181
448,1289.58422
449,1288.02408
450,1292.687267
451,1290.068903
452,1293.606174
453,1295.753051
454,1290.94541
455,1290.253084
456,1284.934465
457,1283.314349
458,1285.981859
459,1287.419436
460,1256.121116
461,1248.898794
462,1252.666139
463,1252.000271
464,1248.490438
465,1257.840223
466,1258.012746
467,1258.990932
468,1262.188386
469,1261.314577
470,1257.913142
471,1258.507332
472,1256.049842
473,1255.342009
474,1257.254482
475,1256.734508
476,1258.739721
477,1256.974019
478,1255.041112
479,1255.075861
480,1313.357502
481,1306.784935
482,1299.266782
483,1293.551953
484,1292.339719
485,1287.156328
486,1282.604694
487,1279.143387
488,1276.512272
489,1273.321837
490,1274.920224
491,1275.665379
492,1272.323883
493,1271.165751
494,1268.245966
495,1265.436657
496,1261.76474
497,1260.667442
498,1261.437085
499,1261.719456
500,1336.411769
501,1333.150385
502,1328.555685
503,1328.407601
504,1331.417769
505,1330.623772
506,1330.454654
507,1327.744458
508,1325.158857
509,1321.236858
510,1316.658934
511,1315.640362
512,1315.486469
513,1314.487614
514,1316.7836
515,1314.878329
516,1315.867617
517,1316.28371
518,1314.5508
519,1311.690499
520,1315.215842
521,1307.981356
522,1305.739511
523,1306.630705
524,1308.044294
525,1304.309485
526,1301.494244
527,1301.634869
528,1306.793677
529,1309.298934
530,1312.505608
531,1306.875481
532,1304.601284
533,1299.470652
534,1294.783417
535,1297.385308
536,1300.500649
537,1300.04812
538,1299.132171
539,1298.546584
540,1317.717589
541,1327.967074
542,1334.926954
543,1338.593159
544,1340.833298
545,1330.142411
546,1321.8748
547,1317.03473
548,1318.758478
549,1319.084271
550,1313.019892
551,1311.082473
552,1312.24715
553,1317.886733
554,1316.80747
555,1315.258365
556,1313.901078
557,1311.562196
558,1308.453598
559,1310.180559
560,1342.771732
561,1333.43629
562,1335.95292
563,1338.13151
564,1338.194152
565,1339.966127
566,1343.470719
567,1342.376675
568,1344.426202
569,1345.812258
570,1339.100297
571,1336.476977
572,1330.834877
573,1330.15426
574,1333.646254
575,1339.144021
576,1342.143526
577,1346.278321
578,1347.527863
579,1350.12069
580,1342.505883
581,1340.776414
582,1335.095303
583,1327.261003
584,1327.542617
585,1323.93464
586,1322.103933
587,1320.109239
588,1320.832899
589,1319.142244
590,1315.463553
591,1321.14518
592,1325.181525
593,1331.47997
594,1331.693612
595,1337.158875
596,1341.119558
597,1339.223502
598,1338.630707
599,1332.616094
600,1316.525542
601,1321.516099
602,1320.008439
603,1328.015308
604,1332.67208
605,1337.566438
606,1338.275553
607,1333.480235
608,1336.078143
609,1335.306134
610,1333.151492
611,1333.353087
612,1325.515191
613,1326.082138
614,1327.221236
615,1327.882533
616,1330.989313
617,1331.963593
618,1331.982282
619,1334.435575
620,1287.532299
621,1285.991869
622,1289.323805
623,1290.249157
624,1293.364205
625,1301.810566
626,1296.518917
627,1296.275657
628,1294.038806
629,1300.022415
630,1297.642288
631,1294.413872
632,1295.847599
633,1296.578958
634,1294.358246
635,1289.353272
636,1283.6389
637,1282.540131
638,1284.331942
639,1284.841237
640,1303.824407
641,1309.215729
642,1306.414618
643,1307.332737
644,1311.717351
645,1310.468139
646,1311.455932
647,1304.339541
648,1303.118047
649,1293.787402
650,1297.145218
651,1296.663156
652,1299.059943
653,1301.894028
654,1305.106597
655,1303.455092
656,1305.702602
657,1307.627544
658,1311.617715
659,1309.329315
660,1252.227885
661,1247.614062
662,1247.200478
663,1248.325317
664,1256.023303
665,1250.32476
666,1253.202358
667,1249.512103
668,1247.798129
669,1246.041586
670,1245.274009
671,1242.124446
672,1241.304106
673,1235.182771
674,1239.031534
675,1239.468255
676,1237.206925
677,1237.046187
678,1233.503604
679,1228.982349
680,1226.598149
681,1223.905913
682,1221.036785
683,1225.700774
684,1225.138537
685,1224.492815
686,1223.071131
687,1220.878517
688,1219.465274
689,1221.211553
690,1216.884076
691,1218.262579
692,1216.789442
693,1211.77092
694,1212.422763
695,1209.796225
696,1209.685823
697,1210.360354
698,1212.497116
699,1205.889364
700,1209.966777
701,1207.863599
702,1209.165365
703,1208.435252
704,1205.702461
705,1204.151755
706,1201.208253
707,1200.584221
708,1202.224564
709,1201.949844
710,1197.691543
711,1196.396533
712,1196.079393
713,1198.675288
714,1195.561824
715,1194.6692
716,1193.269204
717,1193.195508
718,1195.24436
719,1192.031
720,1200.696511
721,1197.900972
722,1194.343296
723,1194.498581
724,1196.654841
725,1200.371824
