index,gold_23
372,1343.063475
373,1335.805488
374,1337.086195
375,1333.879
376,1292.166158
377,1300.303256
378,1293.26338
379,1284.268018
380,1283.673351
381,1277.287205
382,1279.66225
383,1277.660328
384,1272.296727
385,1273.549871
386,1265.946162
387,1266.082702
388,1264.628371
389,1263.867644
390,1262.237246
391,1262.538491
392,1263.703683
393,1259.73846
394,1257.464193
395,1258.868305
396,1256.525909
397,1252.636266
398,1257.774354
399,1301.483294
400,1311.745342
401,1311.640216
402,1318.252696
403,1319.609249
404,1324.326198
405,1324.686872
406,1325.977162
407,1328.490517
408,1326.270943
409,1328.255049
410,1331.571522
411,1331.112127
412,1326.044029
413,1331.175564
414,1333.55658
415,1339.059879
416,1341.787252
417,1338.94325
418,1333.121752
419,1339.035675
420,1339.140277
421,1337.372935
422,1273.71811
423,1274.512776
424,1269.405896
425,1276.112156
426,1275.918493
427,1274.374304
428,1278.675592
429,1270.793789
430,1277.335675
431,1282.530311
432,1282.694399
433,1277.658333
434,1282.277451
435,1281.81177
436,1285.76933
437,1288.679073
438,1281.159879
439,1283.807268
440,1284.180765
441,1283.482605
442,1284.304306
443,1287.97505
444,1284.624753
445,1278.195975
446,1278.359405
447,1276.049242
448,1273.833289
449,1275.441771
450,1274.059691
451,1271.877985
452,1275.767253
453,1276.411033
454,1271.190128
455,1271.124605
456,1267.684297
457,1269.592778
458,1273.818864
459,1272.889305
460,1275.984103
461,1271.831276
462,1272.513419
463,1270.226736
464,1268.137361
465,1270.391122
466,1272.483221
467,1274.802091
468,1265.838089
469,1266.444787
470,1262.817363
471,1260.349036
472,1260.45453
473,1258.193457
474,1258.724134
475,1257.337477
476,1257.10387
477,1255.945419
478,1256.514132
479,1258.328423
480,1254.071521
481,1251.568206
482,1246.961923
483,1244.778003
484,1244.383983
485,1246.928094
486,1246.615328
487,1245.460773
488,1246.918496
489,1246.932126
490,1249.207881
491,1339.564501
492,1343.66882
493,1345.817114
494,1343.525535
495,1343.533671
496,1341.880997
497,1346.701729
498,1345.130976
499,1344.496573
500,1348.801086
501,1346.96934
502,1345.418936
503,1346.210898
504,1346.96713
505,1348.197455
506,1349.720291
507,1346.638528
508,1344.06165
509,1343.408117
510,1342.526792
511,1340.127971
512,1336.687848
513,1334.828369
514,1335.457286
515,1326.985136
516,1325.475319
517,1330.432979
518,1329.972904
519,1330.6736
520,1321.580276
521,1319.149473
522,1314.79738
523,1312.648346
524,1318.026755
525,1315.204741
526,1313.09297
527,1313.748116
528,1320.31035
529,1317.45101
530,1317.092775
531,1314.971183
532,1313.023896
533,1309.218382
534,1308.331118
535,1308.615893
536,1306.111695
537,1294.321402
538,1287.039862
539,1281.952735
540,1282.485162
541,1283.470218
542,1286.154658
543,1297.316597
544,1303.386305
545,1301.834269
546,1297.863789
547,1296.542404
548,1292.876346
549,1292.225184
550,1289.204336
551,1292.676932
552,1296.772734
553,1300.779116
554,1302.740886
555,1302.51417
556,1296.934306
557,1293.36633
558,1285.633379
559,1278.064994
560,1342.771732
561,1333.43629
562,1335.95292
563,1338.13151
564,1338.194152
565,1339.966127
566,1343.470719
567,1342.376675
568,1344.426202
569,1345.812258
570,1339.100297
571,1336.476977
572,1330.834877
573,1330.15426
574,1333.646254
575,1339.144021
576,1342.143526
577,1346.278321
578,1347.527863
579,1350.12069
580,1349.643058
581,1349.853457
582,1346.287799
583,1342.637912
584,1341.583736
585,1335.097839
586,1329.98664
587,1325.556077
588,1322.063099
589,1319.780685
590,1313.369587
591,1321.502853
592,1327.206825
593,1336.344618
594,1337.16654
595,1338.673944
596,1340.611832
597,1335.848432
598,1333.782685
599,1325.773531
600,1323.714616
601,1325.811724
602,1324.157146
603,1329.17741
604,1327.138642
605,1327.583425
606,1316.48444
607,1313.9637
608,1320.160834
609,1324.756663
610,1328.059299
611,1329.460033
612,1321.620168
613,1326.060435
614,1327.127205
615,1324.591669
616,1327.529657
617,1331.969979
618,1334.296815
619,1336.761082
620,1341.267704
621,1340.312952
622,1341.727316
623,1339.213386
624,1337.982446
625,1344.602302
626,1341.843401
627,1337.642568
628,1340.246595
629,1301.559568
630,1299.952017
631,1300.700373
632,1301.286838
633,1301.785717
634,1301.856849
635,1300.670491
636,1293.178952
637,1296.804007
638,1293.329322
639,1290.403579
640,1291.425438
641,1296.688136
642,1297.086652
643,1299.261741
644,1302.04778
645,1303.849542
